,Frutas,Precio Frutas,Verdura,Precio Verduras,Lacteos,Precio Lacteos,Carne,Precio Carnes,Enlatados ,Precio Enlatados
0,Naranja De Jugo,26.9,Esparrago Pieza 454 Gr,68.5,Leche Alpura Clásica Pasteurizada 1L,19.4,Bistec Pulpa Blanca de Res kg,168.0,Chiles Serranos La Costeña Enteros en Escabeche 800g,33.0
1,Ciruela Kg,49.9,Alcachofa Granel Kg,129.9,Frutal Fresa Alpura 250ml,6.5,Pierna Congelada Con Hueso Cerdo Kg,54.0,Chicharrón de Chile Don Chacho Jalapeño 140 g,97.0
2,Manzana Royal Gala Kg,49.9,Tomate Uva Cherubs NatureSweet 283g,41.7,Frutal Durazno Alpura 250ml,6.5,Bistec Pulpa Negra Res por kg,177.0,Chicharrón de Chile Don Chacho Habanero 140 g,97.0
3,Jamaica Granel Kg,210.0,Cebolla Morada Granel Kg,29.9,Frutal Piña-Coco Alpura 250ml,6.5,Bistec Paleta para Asarde Res por Kg,149.0,Chicharrón de Chile Don Chacho Serrano 140 g,97.0
4,Piloncillo Granel Kg,55.0,Tomate Saladet Granel Kg,25.9,Yoghurt Alpura Batido Fresa 125g,5.1,Bistec Aguayon con Tapa Res kg,179.0,Chiles El Mexicano Jalapeños Enteros 220g,8.0
5,Mandarina Kg,22.9,Aguacate Hass Granel Kg,55.0,Yoghurt Alpura Batido Durazno 125g,5.1,Bistec Lomo para Asar Res kg,192.0,Chiles Selecto Brand Jalapeños en Rajas 220g,8.5
6,Limón Sin Semilla Kg,24.9,Tomate Cherry Glorys NatureSweet 283g,41.7,Yoghurt Alpura Batido Mango 125g,5.1,Bistec de Res kg,154.0,Chiles Selecto Brand Jalapeños Enteros 340g,12.5
7,Lima De Chiche Kg,32.9,Tomate Verde Granel Kg,21.9,Yoghurt Alpura Batido Manzana 125g,5.1,Bistec Aguayon de  Ternera,254.0,Rajas San Marcos verdes 120g,6.6
8,Toronja Kg,19.9,Tomate Bola Granel Kg,29.9,Yoghurt Alpura Batido Zarzamora 125g,5.1,Bistec del 7 de Res Kg,114.0,Chiles  Avante en Escabeche Semidulces 365g.,42.0
9,Limón Colima Kg,46.9,Aguacate Hass Enmallado pz,31.0,Yoghurt Alpura Batido Frutos del Bosque 125g,5.1,Bistec Aires de Campo de Res Orgánico 500g,236.0,Chiles El Mexicano Jalapeños Enteros 340g,13.5
