,Frutas,Precio Frutas,Verdura,Precio Verduras,Lacteos,Precio Lacteos,Carne,Precio Carnes,Enlatados ,Precio Enlatados
0,Manzana Granny Smith Kg,59.9,Jitomate  Huaje/Saladette,19.8,Media Crema Nestlé 225 Gr,15.2,Diezmillo De Res S/Hueso Rdfs Kg,69.0,Atún Dolores En Salsa 3 Chiles Pouch 200G,28.9
1,Platano Dominico Kg,34.9,Poro,19.9,Leche Fresca 100 Red Grasa Lala 1 Litro Bote,27.5,Costilla De Res P/Asar Rdfs Kg,64.9,Atún Dolores En Salsa Verde Pouch 200G,28.9
2,Platano Kg,19.9,Papa Blanca Kg,24.8,Leche Fresca 100 Semidesc Lala 1 Litro Bote,27.5,Flecha De Res P/Asar Rdfs Kg,64.9,Chilorio Chata De Pavo 250 Gr,56.0
3,Pera Bosc Kg,89.9,Cebolla Blanca Kg,24.8,Leche Lala 100 Sin Lactosa Light+Proteína 1 L,26.5,Higado De Res Rebanado Sukarne 500 Gr,23.9,Menudo Bco Chata 709 Gramo Lata,78.0
4,Limon C/Semilla Kg,49.9,Aguacate Kg,28.8,Alimento Líquido De Almendras Lala Vita 960 Ml,34.0,Filete De Res Rdfs Kg,19.0,Atún Dolores En Agua Pouch 78G,14.9
5,Mandarina Kg,29.9,Zanahoria Kg,15.9,Leche Lala Sin Lactosa +Proteína 1 L,26.5,Molida Res Pulpa Negra 95/5 Rancho Don Francisco,84.0,Atún Dolores En Aceite Lata 295G,33.9
6,Mango Ataulfo Kg,49.9,Verdolaga Manojo,9.9,Leche Deslactosada,18.9,Menudo De Res Panza Rancho Santa Fe Kg,49.9,Lomo De Atún El Dorado Nutre En Aceite 140 Gr,10.5
7,Naranja S/Semilla Kg,69.9,Apio Kg,19.9,Lala Media Crema De Leche De  Vaca 250 Ml Minibr,14.0,Molida De Pulpa Negra London Broil Rancho Don Francisco Selecta Kg,19.0,Sardinas Ponto En Salsa De Tomate 120 Gr,21.5
8,Papaya Kg,24.8,Cilantro Manojo,6.8,Leche Fresca 100 Sinlac Red Grasa Lala 1 Litro Bote,26.5,Pulpa Negra Trozo Rancho Don Francisco Selecta,84.0,Sardina En Salsa De Tomate Dolores Lata 120G,21.5
9,Manzana Golden Delicious Kg,39.8,Calabaza Italiana/Criolla Kg,19.8,Leche Lala 100 Sin Lactosa Entera 1 L,27.0,New York De Res Rdfs Kg,14.0,Atun Mazatun En Aceite Lat 140Gr,13.5
10,Melon Chino Kg,24.9,Chile Soriana Pasilla 100 Gr,24.9,Alimento Líquido De Almendras Blue Diamond Original 946 Ml,36.9,Milanesa De Res Pulpa Negra Rancho Don Francisco Selecta Kg,89.0,Atun En Aceite Aceite Precissimo Pza,11.2
11,Piña Gota Miel Kg,24.8,Berro Manojo,12.9,Condensada Pronto 380 Gr,17.25,T Bone De Res Rdfs Kg,9.0,Ensalada Tuny Atun S/Mayonesa Lat 135Gr,14.5
12,Naranja Kg,39.9,Camote Morado 1 Kg,49.9,Alimento Líquido De Coco Lala Vita 960 Ml,31.9,Molida 90/10 De Res Rancho Don Francisco Selecta Kg,37.9,Atún Herdez En Agua 85 Gr,17.9
13,Limon Amarillo Kg,39.9,Pepino Verde Kg,24.8,Leche Fresca 100 Sin Lac Semides 1L Lala 1 Litro Bote,26.5,Brisket De Res S/Hueso Rdfs Kg,49.0,Tamal Verde La Costeña 110 Gr,11.1
14,Manzana Golden Bol Kg,24.8,Aguacate Campo Vivo,87.0,Leche Lala Sin Lactosa +Calcio 1 L,27.0,Pulpa Trozo P. Bola De Res Rancho Don Francisco Selecta Kg,49.9,Tuny Atún Agua 140 Gr Lat,15.05
15,Pera Bartlett Kg,49.8,Esparrago Verde Mjo,19.0,Leche Lala Yomi Sabor A Chocolate 190 Ml,6.0,Hueso De Res Tuetanero Rancho Santa Fe Kg,79.9,Atun Atun Agua Marina Azul 130 Gramo Lata,16.0
16,Fresa Char 454Gr,69.9,Chile Caribe Kg,59.8,Leche Lala Yomi Sabor A Vainilla De 190 Ml,6.0,Carne De Res P/Asar Rdfs Kg,59.0,Ensalada De Atún Dolores Cupcan 135G,16.5
17,Nectarina Kg,79.8,Chile Tajin Ancho 75Gr,30.9,Producto Lácteo Forti Plus Entera 1 L,16.1,Sirloin De Res C/H Rdfs Kg,39.9,Sardinas Ponto En Aceite 120 Gr,20.75
