,Frutas,Precio Frutas,Verdura,Precio Verduras,Lacteos,Precio Lacteos,Carne,Precio Carnes,Enlatados ,Precio Enlatados
0,Platano 1 Kg,16.95,Tomate Huaje Supremo 1 Kg,29.95,Huevo Blanco 30 Pz,59.0,Arrachera De Pavo Mezquite Pimienta 500 Gr,57.9,Atun En Agua 140 Gr,18.9
1,Papaya Maradol 1 Kg,29.95,Aguacate Supremo 1 Kg,64.95,Huevo Blanco 18 Pz,36.9,Arrachera De Pavo Sabor Finas Hierbas 500 Gr,60.9,Frijoles Refritos Bayos 400 Gr,16.9
2,Sandia Sangria 1 Kg,10.95,Papa Blanca 1 Kg,26.95,Queso Crema 200 Gr,32.9,Cubos De Pavo Natural 500 Gr,99.9,Elote En Lata 220 Gr,9.5
3,Naranja Valencia 1 Kg,34.95,Cebolla Bca Limpia 1 Kg,31.95,Leche Almendras Original 1.89 Lt,61.9,Milanesa De Pavo Natural 500 Gr,99.9,Elote En Lata 432 Gr,14.9
4,Melon Chino 1 Kg,19.95,Limon Agrio Supremo 1 Kg,49.95,Leche Uht Entera 1 Lt,22.5,Arrachera De Pavo Natural 500 Gr,60.9,Atun En Agua Solido De Lomo 140 Gr,31.0
5,Fresa 1 Lb 454 Gr,76.95,Nopal Limpio 1 Kg,28.95,Leche Evaporada Regular 360 Gr,16.9,Fajitas De Pavo Natural 500 Gr,99.9,Frijoles Refritos Peruanos 400 Gr,16.9
6,Jicama Gde 1 Kg,16.95,Cilantro Manojo,5.95,Queso Panela 400 Gr,70.0,Molida De Pavo Natural 500 Gr. 500 Gr,95.9,Atun En Agua 140 Gr,10.9
7,Pina Miel Gold,54.95,Pepino Fresco 1 Kg,26.95,Leche Condensada 387 Gr 397 Gr,22.9,Molida Pulpa Negra De Res 500 Gr,109.0,Frijoles Pintos 425 Gr,18.9
8,Manzana Golden Saltillo Bin 1 Kg,34.95,Zanahoria 1 Kg,13.95,Fermentados Natural 400 Gr,30.9,Molida London Broil De Res 500 Gr,119.0,Atun Jumbo En Agua 295 Gr,36.9
9,Manzana Gala Imp 1 Kg,59.95,Calabacita 1 Kg,19.95,Leche Uht Deslactosada Light 1Lt 1 Lt,23.5,Molida Pulpa Fina De Res 300 Gr,59.9,Frijoles Refritos Bayos 400 Gr,13.0
10,Sandia Roja Sin Semilla 1 Kg,12.95,Elote Blanco,5.95,Leche Uht Deslactosada Light 1 Lt,23.5,Molida Sirloin De Res 300 Gr,61.9,Elote En Lata 225 Gr,8.5
11,Manzana Red Delicious Imp Suprema 1 Kg,46.95,Espinaca Manojo,6.95,Leche Uht Deslactosada Light 1 Lt,23.9,Pechuga De Pollo S/H 1 Kg,133.0,Sopa Fideo 95 Gr,12.0
12,Pera D Anjou 1 Kg,54.95,Lechuga Romana,12.95,Mantequilla Barra Con Sal 90 Gr,19.5,Milanesa Natural De Pollo Paq.De.550Gr 550 Gr,86.9,Atun En Agua Pouch 75 Gr,18.5
13,Uva Blanca S/S Suprema 1 Kg,99.95,Tomate Bola Supremo 1 Kg,34.95,Mantequilla Barra Sin Sal 90 Gr,19.5,Milanesa De Pulpa Negra 1 Kg,206.0,Atun En Agua Pouch 74 Gr,15.9
14,Manzana Golden En Bsa Nacional1.34 1.36 Gr,38.95,Limon S/Semilla 1 Kg,29.95,Yogurt Griego Natural 150 Gr,18.9,Pierna Con Muslo De Pollo Corte Americano Fres 1 Kg,25.9,Elote En Lata 220 Gr,9.9
15,Manzana Golden Imp Suprema 1 Kg,54.95,Lechuga Orejona,13.95,Crema Liquida Regular 450 Ml,31.0,Pechuga De Pollo Deshuesada 1 Kg,138.9,Atun Pouch Agua 78 Gr,19.9
16,Toronja Sangria 1 Kg,23.95,Brocoli Coronas 1 Kg,32.95,Leche Uht 100 Proteina Reducida Grasa 1 Lt,27.5,Alco Milanesa Corazon 170 Gr. 170 Gr,29.9,Atun Pouch Agua 74 Gr,20.9
