,Frutas,Precio Frutas,Verdura,Precio Verduras,Lacteos,Precio Lacteos,Carne,Precio Carnes,Enlatados ,Precio Enlatados
0,Platano Tabasco,14.9,Jitomate Saladet,23.9,Leche Uht Semidescremada,22.0,Molida,83.2,Chicharron De Cerdo,159.0
1,Papaya Maradol,32.9,Aguacate Hass,54.9,Leche Uht Deslactosada,33.0,Chuleta Ahumada,91.0,Granos De Elote Dorado,8.75
2,Limon Agrio,39.5,Cebolla Blanca,32.9,Leche Uht Deslactosada,29.9,Pulpa De Pierna,80.0,Granos De Elote Dorado,13.45
3,Limon Agrio Sin Semilla,32.9,Calabaza Italiana,27.9,Leche Uht Entera,20.85,Costilla,98.5,Garbanzos,14.9
4,Naranja Valencia Para Jugo,31.9,Zanahoria,13.9,Leche Uht Semidescremada,9.0,Chuleta,99.0,Granos De Elote,8.55
5,Mango Ataulfo,39.9,Papa Blanca,18.9,Leche Uht Deslactosada Light,30.05,Lomo,119.0,Champiñones Rebanados,16.9
6,Melon Chino,31.9,Pepino,19.9,Leche Uht Entera,17.08,Filete,145.4,Granos De Elote Blanco Mexicano,13.95
7,Piña Miel,32.9,Chayote Sin Espinas,12.9,Leche Uht Semidescremada,9.0,Milanesa De Pierna,104.0,Ensalada De Verduras,8.9
8,Manzana Royal Gala,52.9,Chile Serrano,51.9,Leche Fresca Entera,34.0,Codillo,50.5,Ensalada De Verduras,10.35
9,Fresa,71.0,Tomate Verde,23.9,Leche Uht Entera,102.5,Espinazo,131.9,Ajo Picado,89.0
10,Manzana Starking,43.9,Tomate Verde Sin Cascara,26.9,Leche Uht Deslactosada,21.65,Milanesa De Lomo,133.0,Granos De Elote Dorado,12.95
11,Jicama,14.9,Chile Poblano,42.9,Leche Uht Entera,31.5,Bistec De Pierna,84.8,Granos De Elote Dorado,12.95
12,Pera De Anjou,25.9,Ejote Verde,25.9,Leche Uht Semidescremada,9.0,Lomo Ahumado,122.86,Champiñones Rebanados,30.2
13,Uva Blanca Sin Semilla,86.9,Cebolla Morada,32.9,Producto Lacteo Uht Entero,15.95,Manitas,62.2,Garbanzo En Salmuera,16.7
14,Guayaba,32.5,Jitomate Bola,26.5,Leche Uht Semidescremada,28.85,Lomo Rebanado,128.4,Champiñones Rebanados,13.5
15,Toronja Sangria,26.9,Ajo Morado,171.0,Leche Fresca Light,31.5,Carrillera Baby Back,134.0,Champiñones En Trocitos,16.0
16,Mango Manila,48.9,Jengibre,149.3,Leche Fresca Light 0 Lactosa,24.65,Cabeza De Lomo Sin Hueso,107.0,Ensalada De Verduras,11.6
17,Platano Macho,26.9,Pimiento Rojo,71.9,Leche Fresca Entera,20.5,Hueso Pozolero,40.4,Chicharos,7.55
18,Sandia Charleston,10.5,Pimiento Verde,71.0,Leche Fresca Entera,31.5,Espaldilla Con Hueso,86.0,Ensalada De Verduras Mas 15%,8.6
19,Manzana Golden Ex,54.9,Betabel,17.9,Leche Uht Deslactosada Selecta,24.0,Cabeza De Lomo,108.8,Chicharos,7.05
20,Manzana Rallada,29.9,Ajo Morado,8.2,Crema Acida,30.0,Milanesa De Pechuga,135.0,Granos De Elote Dorado Mas 15%,8.55
21,Manzana Granny,49.9,Elote Blanco,6.9,Crema Acida Deslactosada,32.0,Pechuga Con Hueso Sin Piel,103.96,Chicharos Con Zanahorias,7.9
22,Tuna Blanca,19.5,Papa Cambray,31.9,Crema Acida Light,33.0,Pechuga Congelada Importada,101.6,Champiñones En Escabeche,19.5
23,Manzana Golden,29.9,Berenjena,99.5,Crema Acida,58.0,Pechuga Con Hueso Americano,73.7,Granos De Elote Dorado,11.25
24,Limon Eureka,68.9,Pepino Criollo,5.5,Crema Acida Reducida En Grasa,30.0,Muslo Sin Piel,75.5,Ensalada De Legumbres,14.9
25,Platano Dominico,31.0,Pimiento Naranja,97.0,Crema Acida,13.55,Filete De Pechuga,112.0,Champiñones En Escabeche,37.25
